"","probeids","t_stat","p.values","p_adjusted"
"1","1552283_s_at",-1.50348017954136,0.135348907321376,0.15842444733106
"2","1552309_a_at",17.9350937694473,3.74608493926612e-32,4.48066878282533e-31
"3","1552365_at",-4.43068882840566,2.06442315461608e-05,3.16696578127978e-05
"4","1552367_a_at",-4.98345474906814,1.97702308014022e-06,3.22688948368303e-06
"5","1552455_at",-4.12903593279792,6.68980463704792e-05,0.000100118190609192
"6","1552502_s_at",-7.70317589823953,5.6392499906695e-12,1.22812115728521e-11
"7","1552511_a_at",0.58025453210339,0.563015867474995,0.590800063813719
"8","1552766_at",0.999671348509929,0.319406277377374,0.355644371392552
"9","1552767_a_at",2.35313788759317,0.0201617391249214,0.0256802184694298
"10","1552797_s_at",-3.48386737588637,0.000693322828764718,0.00097562247319741
"11","1552834_at",-10.1816382274156,3.56518097212571e-18,1.22109442244395e-17
"12","1552848_a_at",4.44996507399624,2.4435787392891e-05,3.72621419307929e-05
"13","1552870_s_at",-6.22629548548703,6.71525813897795e-09,1.24468041292678e-08
"14","1553102_a_at",7.82435149070718,2.21754410864895e-11,4.65076716485143e-11
"15","1553275_s_at",7.39975511546101,2.93201715022569e-10,5.76241111295961e-10
"16","1553296_at",-3.79509548018785,0.000225829887008818,0.000326483056667139
"17","1553319_at",-4.86526931517588,3.21123841688921e-06,5.17516422763935e-06
"18","1553486_a_at",-4.39103384616373,2.64474399096234e-05,4.01696731166999e-05
"19","1553613_s_at",5.24925151997755,7.41420240341469e-07,1.24056217263693e-06
"20","1553808_a_at",2.87882797016265,0.00502846811486494,0.00668279920473804
"21","1553828_at",-12.5186017766052,8.61717743147994e-24,4.47216903308332e-23
"22","1553970_s_at",3.7999330960999,0.000272536816424757,0.000391053295169919
"23","1554007_at",9.7594109938888,1.40983219775365e-15,3.96774465948684e-15
"24","1554018_at",13.8841979842564,1.59559590863337e-23,8.17009142514276e-23
"25","1554127_s_at",18.0690823016741,5.79706540236736e-30,5.76318644871716e-29
"26","1554190_s_at",-5.86109254172485,5.05765743078845e-08,8.93111133395285e-08
"27","1554195_a_at",8.22468661385593,9.75735536891497e-12,2.09222844114969e-11
"28","1554242_a_at",-2.0281360648653,0.0445699742425624,0.0549439853870411
"29","1554375_a_at",-4.35499548672655,2.76154906505872e-05,4.19021964182845e-05
"30","1554411_at",0.463157205455577,0.644121622013525,0.667219352708191
"31","1554436_a_at",-8.27476478392333,2.44701088592761e-12,5.46915863701486e-12
"32","1554474_a_at",14.7725464551204,4.08570758280313e-27,2.86936619691358e-26
"33","1554547_at",10.5391085365854,3.19471102524833e-16,9.47888096832403e-16
"34","1554726_at",-0.132119271302571,0.895095031845509,0.9051456365624
"35","1554741_s_at",11.5389527688703,1.64288445577069e-19,6.25685597458935e-19
"36","1554781_at",-3.64492687238537,0.000383633299493182,0.000547894199182893
"37","1554899_s_at",13.5961384206289,4.11780698444747e-26,2.64889180386095e-25
"38","1554997_a_at",1.77249968505545,0.0791586204340365,0.0954514653755005
"39","1555019_at",-5.18422363785542,8.00092145785628e-07,1.33435846971437e-06
"40","1555229_a_at",16.7197368434781,4.06648827913919e-34,6.62318463336394e-33
"41","1555564_a_at",3.77627671609826,0.000241781875370057,0.0003485574869977
"42","1555728_a_at",13.019177679105,5.68381660308812e-23,2.81615638165952e-22
"43","1555731_a_at",-2.19668564148817,0.030587385757196,0.0382279898728711
"44","1555745_a_at",-3.97655607112181,0.000123622084242879,0.000182336619437233
"45","1555756_a_at",10.4507361096282,5.6260978282078e-17,1.76507290471027e-16
"46","1555772_a_at",-4.85714552284121,3.38231096119946e-06,5.42800637483897e-06
"47","1555778_a_at",15.6241161887853,1.97944598797334e-31,2.27859534405051e-30
"48","1555867_at",2.81141266376139,0.00591735468420273,0.00783691178331694
"49","1555890_at",-2.65271510424861,0.00896478476463083,0.0117308422860255
"50","1555938_x_at",7.28687857577707,3.71759235203524e-10,7.26900880072281e-10
"51","1555963_x_at",-3.87186278473959,0.000170210190228391,0.000249131741146909
"52","1555997_s_at",13.9165752906629,2.88831398665532e-25,1.70077258214204e-24
"53","1556054_at",-1.00926588310574,0.314756932320022,0.350978050533105
"54","1556194_a_at",-2.39323404395402,0.0181430355633449,0.0232638085824799
"55","1556834_at",-4.41171364022207,2.13942299528832e-05,3.27218442136505e-05
"56","1557049_at",11.2827553996665,1.84696941307489e-18,6.38309293773738e-18
"57","1557080_s_at",10.2514880573105,4.88671346366884e-15,1.30796474001346e-14
"58","1557257_at",-0.735228918785581,0.463807349440053,0.50029582827748
"59","1557285_at",0.30051931996325,0.764298023381814,0.781656829524086
"60","1557961_s_at",12.4072858927941,9.46030600875171e-19,3.36830895334857e-18
"61","1558048_x_at",-0.729105675902384,0.467302424546429,0.503122371294363
"62","1558217_at",-0.662809716442302,0.508608767728412,0.541125798048783
"63","1558686_at",1.45276078646785,0.148792651545851,0.173233117503193
"64","1558828_s_at",12.2943662155874,2.93043580202245e-19,1.09694308383774e-18
"65","1558930_at",2.40172432373018,0.0183510001905805,0.0235107793236642
"66","1559410_at",-3.96559540225393,0.000121469817466747,0.000179334899268649
"67","1559477_s_at",14.9527582732017,3.42834142359193e-25,1.97322959380423e-24
"68","1559538_at",-11.3707039297497,4.70332945870854e-21,1.99468072057695e-20
"69","1559584_a_at",0.933734965117553,0.352189918981941,0.389597374249532
"70","1559633_a_at",-0.567237708058809,0.571584381665236,0.598493825205982
"71","1559826_a_at",-0.724747453721298,0.470139100358087,0.505110850981214
"72","1559827_at",-1.08302483389186,0.281039424335632,0.315217112569856
"73","1560263_at",1.27378335999242,0.205471908029667,0.234584258906353
"74","1560396_at",6.87546606998037,1.56698903013253e-09,2.98019901258746e-09
"75","1561387_a_at",-11.9532085542454,4.34353379222505e-22,1.97915185592159e-21
"76","1562921_at",-7.92097910044571,8.61492636624285e-13,1.99236439074287e-12
"77","1565358_at",-0.896518245202847,0.371645753958825,0.408170480136988
"78","1566465_at",-3.02404820964856,0.00302219201990205,0.00408382699247135
"79","1566764_at",-1.67399182956463,0.0972939749756528,0.116100604589029
"80","1567183_s_at",-3.94767088068531,0.000129755990638897,0.000191199635869251
"81","1568603_at",-8.37909815416883,1.21502099474116e-13,2.96682159959923e-13
"82","1568604_a_at",-7.8221147122025,4.3447728965865e-12,9.50263900667704e-12
"83","1568634_a_at",-8.43308802670506,5.52014720232789e-14,1.37868603046721e-13
"84","1568765_at",7.34614787166936,1.4789546011466e-10,2.95984247628163e-10
"85","1569040_s_at",1.31495331551971,0.19139814925221,0.219006402470204
"86","1569225_a_at",0.222928051799247,0.823945418466598,0.836512225246924
"87","1569433_at",-6.19014420565158,7.06205589530796e-09,1.30579801639088e-08
"88","1569477_at",3.46219179053391,0.000777851320630764,0.00109255997420706
